[7/15/2026 6:21:39 PM] [INFO] received Windows console close event; shutting log-core down
[7/15/2026 6:40:00 PM] [INFO] received Windows console close event; shutting log-core down
[7/15/2026 6:41:57 PM] [INFO] received Windows console close event; shutting log-core down
[7/15/2026 6:48:05 PM] [INFO] received Windows console close event; shutting log-core down
[7/15/2026 6:52:12 PM] [INFO] received Windows console close event; shutting log-core down
[7/15/2026 6:54:16 PM] [INFO] received Windows console close event; shutting log-core down
[7/15/2026 7:15:53 PM] [INFO] received Windows console close event; shutting log-core down
[7/15/2026 7:31:03 PM] [INFO] received Windows console close event; shutting log-core down
[7/15/2026 7:31:10 PM] [INFO] received Windows console close event; shutting log-core down
[7/15/2026 7:31:27 PM] [INFO] received Windows console close event; shutting log-core down
[7/15/2026 7:43:24 PM] [INFO] received Windows console close event; shutting log-core down
[7/16/2026 11:28:27 AM] [INFO] received Windows console close event; shutting log-core down
[7/16/2026 11:49:13 AM] [INFO] received Windows console close event; shutting log-core down
